W Json	1	1	0.0323134
R Json	1	1	0.0040386
W MPck	1	1	0.0019003
R MPck	1	1	0.0024119
W Json	1	1	0.0383149
R Json	1	1	0.0049250
W MPck	1	1	0.0015191
R MPck	1	1	0.0017523
W Json	1	1	0.0252377
R Json	1	1	0.0046269
W MPck	1	1	0.0015306
R MPck	1	1	0.0023258
W Json	1	2	0.0237549
R Json	1	2	0.0032652
W MPck	1	2	0.0013855
R MPck	1	2	0.0017218
W Json	1	2	0.0213758
R Json	1	2	0.0038053
W MPck	1	2	0.0013942
R MPck	1	2	0.0022615
W Json	1	2	0.0227900
R Json	1	2	0.0039855
W MPck	1	2	0.0013284
R MPck	1	2	0.0022144
W Json	1	3	0.0354141
R Json	1	3	0.0065865
W MPck	1	3	0.0021665
R MPck	1	3	0.0033290
W Json	1	3	0.0317574
R Json	1	3	0.0037186
W MPck	1	3	0.0013786
R MPck	1	3	0.0021763
W Json	1	3	0.0220549
R Json	1	3	0.0038645
W MPck	1	3	0.0022362
R MPck	1	3	0.0025903
W Json	1	4	0.0229566
R Json	1	4	0.0035917
W MPck	1	4	0.0016542
R MPck	1	4	0.0029772
W Json	1	4	0.0335635
R Json	1	4	0.0039309
W MPck	1	4	0.0014727
R MPck	1	4	0.0016126
W Json	1	4	0.0247785
R Json	1	4	0.0038693
W MPck	1	4	0.0015025
R MPck	1	4	0.0022945
W Json	2	1	0.0636059
R Json	2	1	0.0084809
W MPck	2	1	0.0029877
R MPck	2	1	0.0040508
W Json	2	1	0.0556530
R Json	2	1	0.0084339
W MPck	2	1	0.0029434
R MPck	2	1	0.0060376
W Json	2	1	0.0506618
R Json	2	1	0.0078901
W MPck	2	1	0.0033498
R MPck	2	1	0.0034423
W Json	2	2	0.0502888
R Json	2	2	0.0078116
W MPck	2	2	0.0029985
R MPck	2	2	0.0037934
W Json	2	2	0.0498291
R Json	2	2	0.0096655
W MPck	2	2	0.0029861
R MPck	2	2	0.0039778
W Json	2	2	0.0488011
R Json	2	2	0.0085595
W MPck	2	2	0.0033369
R MPck	2	2	0.0037422
W Json	2	3	0.0463451
R Json	2	3	0.0085852
W MPck	2	3	0.0028842
R MPck	2	3	0.0056606
W Json	2	3	0.0511902
R Json	2	3	0.0071618
W MPck	2	3	0.0028539
R MPck	2	3	0.0032371
W Json	2	3	0.0472373
R Json	2	3	0.0097547
W MPck	2	3	0.0028909
R MPck	2	3	0.0034451
W Json	2	4	0.0547222
R Json	2	4	0.0129635
W MPck	2	4	0.0045190
R MPck	2	4	0.0031333
W Json	2	4	0.0467430
R Json	2	4	0.0082156
W MPck	2	4	0.0028596
R MPck	2	4	0.0038277
W Json	2	4	0.0467586
R Json	2	4	0.0072301
W MPck	2	4	0.0029272
R MPck	2	4	0.0034253
W Json	3	1	0.0881991
R Json	3	1	0.0125231
W MPck	3	1	0.0044290
R MPck	3	1	0.0071704
W Json	3	1	0.0751908
R Json	3	1	0.0137960
W MPck	3	1	0.0043670
R MPck	3	1	0.0068376
W Json	3	1	0.0904520
R Json	3	1	0.0144767
W MPck	3	1	0.0043973
R MPck	3	1	0.0059787
W Json	3	2	0.0739914
R Json	3	2	0.0123299
W MPck	3	2	0.0042669
R MPck	3	2	0.0163214
W Json	3	2	0.0719450
R Json	3	2	0.0217598
W MPck	3	2	0.0043539
R MPck	3	2	0.0055100
W Json	3	2	0.0760567
R Json	3	2	0.0131632
W MPck	3	2	0.0043438
R MPck	3	2	0.0087362
W Json	3	3	0.0714083
R Json	3	3	0.0120941
W MPck	3	3	0.0043167
R MPck	3	3	0.0049311
W Json	3	3	0.0738983
R Json	3	3	0.0130906
W MPck	3	3	0.0043775
R MPck	3	3	0.0083795
W Json	3	3	0.0822814
R Json	3	3	0.0122925
W MPck	3	3	0.0043297
R MPck	3	3	0.0052364
W Json	3	4	0.0763248
R Json	3	4	0.0169375
W MPck	3	4	0.0043709
R MPck	3	4	0.0072804
W Json	3	4	0.0720895
R Json	3	4	0.0129578
W MPck	3	4	0.0042672
R MPck	3	4	0.0051983
W Json	3	4	0.0716196
R Json	3	4	0.0120726
W MPck	3	4	0.0043944
R MPck	3	4	0.0050053
W Json	4	1	0.1017128
R Json	4	1	0.0165268
W MPck	4	1	0.0057811
R MPck	4	1	0.0117527
W Json	4	1	0.1036274
